,transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type
3775,92844887281,271241,2013-08-23,4,1,1,1496,157.08,1653.08,e-Shop
3779,98954142537,273515,2013-08-23,3,1,2,230,48.3,508.3,e-Shop
3805,60065664240,272546,2013-08-21,4,3,4,1472,618.24,6506.24,TeleShop
3814,20576480059,274025,2013-08-20,8,3,3,507,159.705,1680.705,TeleShop
3825,17011408618,267913,2013-08-20,10,6,2,478,100.38,1056.38,MBR
3908,48062075119,270914,2013-08-15,1,1,5,1284,674.1,7094.1,Flagship store
3920,69220749930,268615,2013-08-15,4,3,1,1333,139.965,1472.965,TeleShop
3939,33643724042,269536,2013-08-14,1,2,5,307,161.175,1696.175,TeleShop
3943,11065821164,273839,2013-08-14,1,1,1,733,76.965,809.965,e-Shop
3954,54188452384,274854,2013-08-13,1,2,3,932,293.58,3089.58,TeleShop
3958,41964436828,274681,2013-08-13,1,2,1,1498,157.29,1655.29,MBR
3974,34022183981,268139,2013-12-08,5,3,1,1215,127.575,1342.575,Flagship store
3984,9878298627,269333,2013-12-08,10,6,1,1123,117.915,1240.915,e-Shop
3986,70351705487,270313,2013-12-08,4,2,5,1400,735.0,7735.0,TeleShop
4003,40962629299,273718,2013-11-08,9,3,1,261,27.405,288.405,Flagship store
4007,73828946197,268151,2013-11-08,4,4,5,275,144.375,1519.375,TeleShop
4014,36831276579,274009,2013-10-08,3,1,4,1056,443.52,4667.52,e-Shop
4029,5768335159,273096,2013-10-08,4,1,3,979,308.385,3245.385,MBR
4032,74258591248,272190,2013-10-08,10,3,4,397,166.74,1754.74,e-Shop
4047,23310151653,275114,2013-09-08,4,1,4,517,217.14,2285.14,e-Shop
4054,88316484015,266816,2013-09-08,1,2,1,74,7.77,81.77,e-Shop
4058,93013926669,269981,2013-09-08,7,5,3,1010,318.15,3348.15,Flagship store
4063,48445867691,267504,2013-08-08,2,6,3,925,291.375,3066.375,e-Shop
4071,50651621249,270612,2013-08-08,11,6,3,1494,470.61,4952.61,e-Shop
4086,52612919639,273472,2013-07-08,10,3,4,1051,441.42,4645.42,e-Shop
4100,84628682819,275252,2013-07-08,4,2,2,1281,269.01,2831.01,TeleShop
4102,92814475704,267750,2013-07-08,1,1,4,284,119.28,1255.28,Flagship store
4105,72900380667,270353,2013-07-08,4,4,5,1413,741.825,7806.825,e-Shop
4108,75791208787,274568,2013-07-08,4,2,5,297,155.925,1640.925,Flagship store
4115,29619091874,270125,2013-06-08,10,3,3,709,223.335,2350.335,MBR
4122,21255363917,272207,2013-06-08,5,3,1,1042,109.41,1151.41,TeleShop
4128,81263378321,268595,2013-06-08,4,3,2,1105,232.05,2442.05,e-Shop
4137,99598973047,267466,2013-06-08,12,5,2,1492,313.32,3297.32,Flagship store
4146,24628798745,270525,2013-05-08,10,6,4,906,380.52,4004.52,e-Shop
4161,24960846972,274384,2013-04-08,10,3,2,1273,267.33,2813.33,e-Shop
4191,45885051290,272355,2013-03-08,12,6,1,1456,152.88,1608.88,TeleShop
4240,58793570564,268016,2013-01-08,4,1,5,1270,666.75,7016.75,e-Shop
4262,50821804089,267778,2013-07-31,4,3,3,1474,464.31,4886.31,Flagship store
4265,38341099327,274842,2013-07-31,4,4,5,1369,718.725,7563.725,e-Shop
4303,22954300027,267615,2013-07-29,4,2,5,691,362.775,3817.775,Flagship store
4308,2407621021,269253,2013-07-29,3,2,1,1253,131.565,1384.565,e-Shop
4322,52465091003,267325,2013-07-28,11,6,1,1490,156.45,1646.45,e-Shop
4350,91036532193,273085,2013-07-27,4,2,3,1093,344.295,3623.295,e-Shop
4371,93586836205,268808,2013-07-26,5,3,4,128,53.76,565.76,e-Shop
4374,20696559981,268033,2013-07-25,11,6,2,1214,254.94,2682.94,TeleShop
4394,9005632161,270677,2013-07-24,11,5,3,996,313.74,3301.74,Flagship store
4395,7718093424,273220,2013-07-24,3,2,4,1353,568.26,5980.26,Flagship store
4396,27975020881,272761,2013-07-24,3,5,5,1010,530.25,5580.25,MBR
4397,49473025628,273020,2013-07-24,1,1,1,397,41.685,438.685,Flagship store
4405,92311233441,268510,2013-07-24,4,1,1,208,21.84,229.84,e-Shop
4414,59821338679,267245,2013-07-23,4,3,3,271,85.365,898.365,e-Shop
4436,60339616153,269361,2013-07-22,6,5,1,1241,130.305,1371.305,Flagship store
4440,48193686182,271742,2013-07-22,1,2,5,656,344.4,3624.4,e-Shop
4464,58493517259,273417,2013-07-21,7,5,5,1463,768.075,8083.075,e-Shop
4472,93213392507,269559,2013-07-21,12,5,4,483,202.86,2134.86,e-Shop
4485,60874711364,272526,2013-07-20,10,5,3,140,44.1,464.1,MBR
4516,75926088208,271002,2013-07-19,11,5,1,1363,143.115,1506.115,MBR
4521,73562329131,267376,2013-07-19,10,6,2,369,77.49,815.49,MBR
4528,19208101395,273795,2013-07-18,4,4,5,182,95.55,1005.55,e-Shop
4529,2836752453,268603,2013-07-18,12,5,4,633,265.86,2797.86,e-Shop
4535,54818572958,274656,2013-07-18,11,6,5,662,347.55,3657.55,e-Shop
4541,80262862720,272871,2013-07-18,12,6,5,1468,770.7,8110.7,Flagship store
4558,18286209869,273426,2013-07-16,10,5,3,393,123.795,1302.795,Flagship store
4575,99341082862,270457,2013-07-16,12,5,4,830,348.6,3668.6,Flagship store
4584,30696616340,269182,2013-07-15,2,6,2,142,29.82,313.82,e-Shop
4586,31885345366,270867,2013-07-15,9,3,5,976,512.4,5392.4,e-Shop
4592,93775847705,271275,2013-07-15,9,3,3,658,207.27,2181.27,e-Shop
4597,41736324452,271427,2013-07-14,2,6,1,820,86.1,906.1,Flagship store
4656,96874624280,268285,2013-12-07,7,5,1,1374,144.27,1518.27,e-Shop
4684,74447174973,275188,2013-11-07,4,1,1,672,70.56,742.56,e-Shop
4686,72498423772,270658,2013-11-07,10,5,2,1398,293.58,3089.58,e-Shop
4702,57083414009,272446,2013-10-07,9,3,4,1476,619.92,6523.92,e-Shop
4716,85419491813,269019,2013-10-07,3,2,2,81,17.01,179.01,e-Shop
4720,29926173015,268530,2013-09-07,8,3,1,672,70.56,742.56,TeleShop
4729,78172785573,273101,2013-09-07,7,5,1,744,78.12,822.12,e-Shop
4734,47186462053,267960,2013-08-07,5,3,4,359,150.78,1586.78,e-Shop
4737,19872212809,269214,2013-08-07,10,5,5,399,209.475,2204.475,MBR
4739,22548070556,269949,2013-08-07,3,5,4,1239,520.38,5476.38,MBR
4743,7879597324,270910,2013-08-07,7,5,3,984,309.96,3261.96,e-Shop
4749,16561128161,274535,2013-07-07,8,3,3,317,99.855,1050.855,TeleShop
4751,43210380959,269971,2013-07-07,4,3,1,784,82.32,866.32,e-Shop
4754,15965018383,269664,2013-07-07,3,2,1,358,37.59,395.59,e-Shop
4756,31494713399,275072,2013-07-07,2,6,4,1135,476.7,5016.7,e-Shop
4768,12818388117,270594,2013-06-07,5,3,2,520,109.2,1149.2,TeleShop
4776,33431561651,272843,2013-06-07,4,1,2,406,85.26,897.26,e-Shop
4779,61866943283,271889,2013-06-07,10,3,2,430,90.3,950.3,e-Shop
4782,98121935412,274877,2013-06-07,4,1,1,1251,131.355,1382.355,MBR
4806,85482309207,273711,2013-05-07,2,6,1,328,34.44,362.44,e-Shop
4815,34057188321,270884,2013-04-07,11,6,4,267,112.14,1180.14,Flagship store
4871,48889669487,269539,2013-01-07,11,6,4,1444,606.48,6382.48,Flagship store
4879,65810294202,267014,2013-01-07,5,3,2,781,164.01,1726.01,TeleShop
4889,15103708771,267898,2013-06-30,4,1,5,1472,772.8,8132.8,TeleShop
4894,31743084638,270482,2013-06-30,11,6,5,387,203.175,2138.175,TeleShop
4902,91872214099,267174,2013-06-30,2,6,4,456,191.52,2015.52,e-Shop
4907,53567569771,272242,2013-06-29,1,4,1,1230,129.15,1359.15,MBR
4908,42435707527,266794,2013-06-29,10,3,1,123,12.915,135.915,e-Shop
4924,19855334141,269914,2013-06-28,3,5,4,506,212.52,2236.52,e-Shop
4931,11766557983,272556,2013-06-28,2,6,1,666,69.93,735.93,TeleShop
4946,5209169465,275216,2013-06-27,10,3,1,1467,154.035,1621.035,Flagship store
4954,25794118860,274795,2013-06-27,4,2,1,1315,138.075,1453.075,MBR
4958,45067329959,275261,2013-06-27,3,5,3,862,271.53,2857.53,e-Shop
4962,96209924289,267104,2013-06-27,11,5,3,1343,423.045,4452.045,TeleShop
4966,75594252807,267151,2013-06-27,4,4,4,1227,515.34,5423.34,MBR
4972,44867925801,269073,2013-06-26,8,3,5,1002,526.05,5536.05,e-Shop
4999,71824524516,269057,2013-06-25,8,3,1,1218,127.89,1345.89,e-Shop
5001,88351772891,269909,2013-06-25,12,5,2,834,175.14,1843.14,MBR
5003,49890754409,266916,2013-06-24,2,6,5,1358,712.95,7502.95,TeleShop
5013,18136996931,268418,2013-06-24,1,4,2,240,50.4,530.4,TeleShop
5021,41409462977,270055,2013-06-23,4,2,2,588,123.48,1299.48,e-Shop
5028,10971423407,272689,2013-06-23,3,5,4,892,374.64,3942.64,e-Shop
5044,36449970284,267446,2013-06-22,3,1,4,1188,498.96,5250.96,MBR
5077,5479136053,269216,2013-06-20,3,5,2,735,154.35,1624.35,Flagship store
5079,55099427682,273973,2013-06-20,3,1,5,1121,588.525,6193.525,TeleShop
5083,13935695514,268328,2013-06-20,3,5,5,506,265.65,2795.65,MBR
5112,90695576844,270328,2013-06-19,10,3,2,1298,272.58,2868.58,MBR
5128,47839213871,269245,2013-06-18,4,3,5,371,194.775,2049.775,Flagship store
5135,35972771273,270684,2013-06-17,5,3,2,1006,211.26,2223.26,MBR
5140,7796415213,269794,2013-06-17,1,4,2,1370,287.7,3027.7,TeleShop
5162,87602291178,274719,2013-06-16,6,5,1,800,84.0,884.0,e-Shop
5165,76722317957,273215,2013-06-16,2,6,4,153,64.26,676.26,e-Shop
5166,89591928808,273616,2013-06-16,7,5,4,1382,580.44,6108.44,TeleShop
5170,7130343916,268184,2013-06-15,3,5,1,393,41.265,434.265,TeleShop
5173,1834977618,270718,2013-06-15,4,4,5,1325,695.625,7320.625,MBR
5184,44281974284,270018,2013-06-15,8,3,5,594,311.85,3281.85,TeleShop
5200,27610326534,273783,2013-06-14,3,1,2,1264,265.44,2793.44,Flagship store
5204,75393425704,269042,2013-06-14,6,5,5,631,331.275,3486.275,MBR
5209,90105977333,269528,2013-06-14,3,2,2,384,80.64,848.64,Flagship store
5226,89274306751,268302,2013-06-13,11,5,4,1054,442.68,4658.68,Flagship store
5240,50680934425,269395,2013-12-06,6,5,5,857,449.925,4734.925,MBR
5247,64909358045,271317,2013-12-06,1,2,1,1200,126.0,1326.0,TeleShop
5290,68604176454,271580,2013-10-06,3,5,4,968,406.56,4278.56,MBR
5307,85011207277,268698,2013-09-06,3,2,4,570,239.4,2519.4,e-Shop
5320,26337916385,270262,2013-08-06,10,3,2,877,184.17,1938.17,e-Shop
5327,92702535415,267935,2013-08-06,3,5,4,581,244.02,2568.02,e-Shop
5332,83936819297,272910,2013-08-06,4,3,2,83,17.43,183.43,Flagship store
5374,77538003604,272671,2013-06-06,10,3,3,936,294.84,3102.84,Flagship store
5389,26789139197,272973,2013-05-06,1,1,2,602,126.42,1330.42,e-Shop
5396,86276747983,274096,2013-05-06,12,5,2,1417,297.57,3131.57,e-Shop
5406,74537415378,271190,2013-05-06,1,4,3,227,71.505,752.505,TeleShop
5413,60513699515,270264,2013-04-06,4,2,1,329,34.545,363.545,Flagship store
5425,77466609516,275160,2013-04-06,4,4,4,1488,624.96,6576.96,e-Shop
5434,51427394398,270864,2013-03-06,10,3,1,1163,122.115,1285.115,MBR
5447,92474691554,269193,2013-03-06,11,6,2,1056,221.76,2333.76,e-Shop
5462,15961469206,273121,2013-02-06,9,3,2,1039,218.19,2296.19,MBR
5464,17680312302,269050,2013-02-06,10,3,5,413,216.825,2281.825,MBR
5472,72183344132,272456,2013-02-06,11,6,1,1458,153.09,1611.09,e-Shop
5473,91410249731,270968,2013-02-06,5,3,4,1207,506.94,5334.94,Flagship store
5479,53152348292,267251,2013-01-06,11,6,4,1203,505.26,5317.26,e-Shop
5490,77977648583,269150,2013-01-06,3,2,5,529,277.725,2922.725,e-Shop
5499,52555572527,266953,2013-05-31,1,4,5,926,486.15,5116.15,TeleShop
5511,88743841801,268904,2013-05-31,10,6,5,683,358.575,3773.575,TeleShop
5536,85216927568,270030,2013-05-30,1,4,2,584,122.64,1290.64,e-Shop
5542,90815592535,271576,2013-05-30,10,6,2,445,93.45,983.45,Flagship store
5545,18820893895,270477,2013-05-29,1,2,5,1199,629.475,6624.475,TeleShop
5591,90418299935,274223,2013-05-27,11,6,1,1082,113.61,1195.61,TeleShop
5600,11279517942,275249,2013-05-26,6,5,1,603,63.315,666.315,Flagship store
5609,25885721716,275034,2013-05-25,3,1,2,905,190.05,2000.05,Flagship store
5616,9241214447,270892,2013-05-25,11,6,2,741,155.61,1637.61,e-Shop
5627,99474559867,267442,2013-05-25,11,5,5,609,319.725,3364.725,MBR
5639,16032809239,269370,2013-05-24,1,1,4,142,59.64,627.64,e-Shop
5645,8884890176,270927,2013-05-24,1,1,4,828,347.76,3659.76,Flagship store
5646,2924745336,268560,2013-05-24,3,5,2,703,147.63,1553.63,TeleShop
5661,88402022262,266990,2013-05-23,9,3,1,601,63.105,664.105,e-Shop
5664,24188542835,271793,2013-05-22,4,3,4,1034,434.28,4570.28,e-Shop
5685,72811014920,275250,2013-05-22,3,1,4,1443,606.06,6378.06,e-Shop
5688,24737387541,274689,2013-05-21,8,3,5,799,419.475,4414.475,Flagship store
5689,25472059945,273125,2013-05-21,6,5,5,1228,644.7,6784.7,e-Shop
5695,89459146605,275062,2013-05-21,2,6,5,502,263.55,2773.55,e-Shop
5719,13404978136,273740,2013-05-19,10,5,3,619,194.985,2051.985,MBR
5735,80605721419,274829,2013-05-19,3,5,4,1051,441.42,4645.42,e-Shop
5749,82374188667,273582,2013-05-18,4,2,4,594,249.48,2625.48,MBR
5757,80615805759,271347,2013-05-18,1,4,5,1079,566.475,5961.475,TeleShop
5783,38652726705,271232,2013-05-16,10,3,2,438,91.98,967.98,e-Shop
5791,71900965128,266957,2013-05-16,4,1,5,1474,773.85,8143.85,Flagship store
5792,77432338024,268595,2013-05-16,3,2,4,1242,521.64,5489.64,e-Shop
5825,45594809662,270768,2013-05-14,4,2,2,1478,310.38,3266.38,MBR
5829,81943842921,271500,2013-05-14,7,5,5,1103,579.075,6094.075,e-Shop
5860,8469216926,270964,2013-12-05,11,6,5,817,428.925,4513.925,Flagship store
5864,17394995383,268690,2013-12-05,9,3,3,815,256.725,2701.725,e-Shop
5873,71661659941,269978,2013-12-05,4,4,5,170,89.25,939.25,e-Shop
5876,83163564639,274525,2013-12-05,4,2,3,1498,471.87,4965.87,e-Shop
5891,79960195196,271184,2013-11-05,9,3,4,1268,532.56,5604.56,MBR
5895,64863103574,268333,2013-11-05,3,2,5,1160,609.0,6409.0,MBR
5897,77153957995,273815,2013-11-05,2,6,5,352,184.8,1944.8,MBR
5927,12514449477,268635,2013-09-05,10,6,5,116,60.9,640.9,Flagship store
5941,80283848357,267661,2013-09-05,3,1,1,1247,130.935,1377.935,e-Shop
5945,11657270976,270722,2013-08-05,10,6,4,321,134.82,1418.82,MBR
5957,84186953046,270030,2013-08-05,4,3,4,1309,549.78,5785.78,MBR
5967,31186303016,267978,2013-07-05,9,3,4,1065,447.3,4707.3,e-Shop
5971,81795658122,269612,2013-07-05,1,1,5,465,244.125,2569.125,Flagship store
5990,18210547884,267639,2013-06-05,10,6,2,525,110.25,1160.25,TeleShop
6037,788829382,270571,2013-04-05,1,2,5,921,483.525,5088.525,Flagship store
6054,23389571930,268582,2013-03-05,7,5,1,1006,105.63,1111.63,MBR
6064,25670945168,272007,2013-02-05,8,3,1,111,11.655,122.655,TeleShop
6065,55689691844,272423,2013-02-05,10,6,2,271,56.91,598.91,e-Shop
6070,32461394932,269904,2013-02-05,4,4,4,1364,572.88,6028.88,e-Shop
6076,34195478343,273548,2013-02-05,1,4,4,1479,621.18,6537.18,Flagship store
6079,46236624598,270320,2013-02-05,4,2,5,317,166.425,1751.425,e-Shop
6091,59277965573,273663,2013-01-05,9,3,1,866,90.93,956.93,e-Shop
6099,51641844227,271810,2013-01-05,4,1,1,567,59.535,626.535,Flagship store
6123,70171905828,269754,2013-04-30,12,6,2,882,185.22,1949.22,e-Shop
6127,55443022818,274816,2013-04-29,10,6,5,846,444.15,4674.15,TeleShop
6138,60490240953,271198,2013-04-29,1,2,4,314,131.88,1387.88,TeleShop
6141,28039163447,268878,2013-04-29,4,1,3,1016,320.04,3368.04,e-Shop
6147,93246125533,272208,2013-04-29,1,2,2,1282,269.22,2833.22,TeleShop
6155,50068975720,274941,2013-04-28,10,6,5,477,250.425,2635.425,MBR
6172,57859197212,271050,2013-04-27,6,5,3,1304,410.76,4322.76,MBR
6181,60900920338,270964,2013-04-27,10,6,3,1289,406.035,4273.035,TeleShop
6183,98940911065,268941,2013-04-27,12,6,1,959,100.695,1059.695,e-Shop
6231,29188739005,274587,2013-04-24,8,3,4,1154,484.68,5100.68,Flagship store
6232,43178125715,268137,2013-04-24,11,5,4,1381,580.02,6104.02,MBR
6236,89218785484,269674,2013-04-24,10,5,1,216,22.68,238.68,TeleShop
6246,87411516214,269776,2013-04-24,3,5,2,1304,273.84,2881.84,Flagship store
6252,39785359423,267385,2013-04-23,10,5,1,261,27.405,288.405,TeleShop
6264,8331837526,274673,2013-04-22,1,2,1,387,40.635,427.635,MBR
6273,70295802814,268513,2013-04-22,4,1,1,268,28.14,296.14,TeleShop
6275,90976597521,273222,2013-04-22,12,6,4,1406,590.52,6214.52,TeleShop
6278,93884797104,267795,2013-04-22,1,1,2,1168,245.28,2581.28,Flagship store
6284,48075661454,269480,2013-04-21,6,5,2,1428,299.88,3155.88,Flagship store
6293,94034760541,269001,2013-04-21,12,6,4,589,247.38,2603.38,e-Shop
6296,91377906980,273702,2013-04-21,3,5,4,632,265.44,2793.44,TeleShop
6299,74743582434,271346,2013-04-21,12,6,4,245,102.9,1082.9,MBR
6309,77946076428,270300,2013-04-20,11,6,1,703,73.815,776.815,MBR
6314,72402739188,270430,2013-04-20,4,4,2,1473,309.33,3255.33,MBR
6332,80166749290,273478,2013-04-19,1,2,4,655,275.1,2895.1,TeleShop
6336,26670411668,274541,2013-04-18,1,4,1,1372,144.06,1516.06,e-Shop
6343,5928346670,270920,2013-04-18,2,6,4,223,93.66,985.66,Flagship store
6354,41646126898,269172,2013-04-17,7,5,1,1354,142.17,1496.17,e-Shop
6381,34160653294,268011,2013-04-16,2,6,5,838,439.95,4629.95,TeleShop
6389,71476383191,270581,2013-04-16,10,5,1,658,69.09,727.09,MBR
6398,20964282934,274309,2013-04-15,12,5,1,877,92.085,969.085,e-Shop
6423,57539797485,273618,2013-04-14,3,5,2,1107,232.47,2446.47,Flagship store
6427,72528197633,270980,2013-04-14,11,5,4,590,247.8,2607.8,e-Shop
6499,16579805163,269739,2013-09-04,12,6,2,1041,218.61,2300.61,e-Shop
6531,68994648826,272520,2013-08-04,8,3,5,123,64.575,679.575,e-Shop
6535,76291474397,269266,2013-08-04,12,5,2,114,23.94,251.94,Flagship store
6538,4796172999,273647,2013-07-04,3,2,4,1219,511.98,5387.98,Flagship store
6541,34795062378,273708,2013-07-04,3,2,4,162,68.04,716.04,e-Shop
6601,39468082029,272252,2013-04-04,6,5,3,395,124.425,1309.425,e-Shop
6603,18666557088,269010,2013-04-04,4,2,5,1477,775.425,8160.425,e-Shop
6615,50169250414,271699,2013-04-04,10,3,1,250,26.25,276.25,e-Shop
6623,68429183600,270466,2013-04-04,6,5,3,1145,360.675,3795.675,e-Shop
6646,96636217169,272982,2013-03-04,4,4,2,209,43.89,461.89,TeleShop
6653,12473155192,271719,2013-02-04,10,6,1,780,81.9,861.9,e-Shop
6666,73822234340,269104,2013-02-04,4,2,4,1146,481.32,5065.32,Flagship store
6673,37500259394,267734,2013-01-04,5,3,2,1019,213.99,2251.99,Flagship store
6681,15352984917,269884,2013-01-04,8,3,1,783,82.215,865.215,Flagship store
6696,92908164962,267517,2013-01-04,2,6,5,849,445.725,4690.725,TeleShop
6705,21336313261,271512,2013-03-31,4,4,5,1183,621.075,6536.075,e-Shop
6707,47916247207,274837,2013-03-31,10,5,1,246,25.83,271.83,e-Shop
6711,82703220030,273900,2013-03-31,12,6,5,231,121.275,1276.275,e-Shop
6717,30954923904,267637,2013-03-30,9,3,5,282,148.05,1558.05,Flagship store
6737,50814709877,268860,2013-03-29,2,6,4,145,60.9,640.9,e-Shop
6743,81269741914,267907,2013-03-29,11,5,5,1373,720.825,7585.825,e-Shop
6756,17999191097,269471,2013-03-28,1,4,4,360,151.2,1591.2,TeleShop
6767,88119971455,272738,2013-03-28,1,1,4,1226,514.92,5418.92,TeleShop
6769,736344248,268706,2013-03-27,4,1,4,1317,553.14,5821.14,Flagship store
6799,61500454635,268672,2013-03-26,4,2,3,660,207.9,2187.9,TeleShop
6815,6690078492,268292,2013-03-25,1,2,2,187,39.27,413.27,Flagship store
6829,43549085521,266822,2013-03-24,12,5,4,615,258.3,2718.3,e-Shop
6867,98456505332,271514,2013-03-23,12,5,1,335,35.175,370.175,e-Shop
6869,22674579021,273915,2013-03-22,7,5,2,637,133.77,1407.77,TeleShop
6891,15435341860,267995,2013-03-21,12,5,5,1423,747.075,7862.075,TeleShop
6892,14798067166,273014,2013-03-21,2,6,3,905,285.075,3000.075,e-Shop
6909,1531538858,273051,2013-03-20,8,3,4,1052,441.84,4649.84,Flagship store
6917,27212561824,272790,2013-03-20,12,6,4,327,137.34,1445.34,e-Shop
6918,5460055053,271749,2013-03-20,11,6,4,748,314.16,3306.16,e-Shop
6926,94307540847,267938,2013-03-20,3,5,4,909,381.78,4017.78,TeleShop
6947,88103826123,268490,2013-03-19,3,1,5,804,422.1,4442.1,TeleShop
6957,66041858627,273543,2013-03-19,7,5,5,131,68.775,723.775,e-Shop
6961,13676535747,272005,2013-03-18,12,6,5,738,387.45,4077.45,e-Shop
6972,70702987118,269539,2013-03-18,7,5,5,1327,696.675,7331.675,MBR
6985,19594252078,269645,2013-03-17,10,5,3,1344,423.36,4455.36,MBR
7011,3295483875,272050,2013-03-16,3,1,3,1282,403.83,4249.83,e-Shop
7022,74318710496,270780,2013-03-16,4,3,4,1063,446.46,4698.46,e-Shop
7023,76680456784,269958,2013-03-16,10,5,5,1463,768.075,8083.075,e-Shop
7031,33599020884,274649,2013-03-15,4,4,1,1306,137.13,1443.13,Flagship store
7034,36988740878,269453,2013-03-15,3,5,1,1132,118.86,1250.86,e-Shop
7076,69480566994,273414,2013-03-14,10,6,1,928,97.44,1025.44,e-Shop
7079,24302389102,270770,2013-03-13,4,4,1,1122,117.81,1239.81,e-Shop
7080,4636564530,267698,2013-03-13,7,5,1,102,10.71,112.71,MBR
7089,60140748807,270463,2013-03-13,3,2,2,401,84.21,886.21,MBR
7099,70030195544,269831,2013-03-13,5,3,1,1212,127.26,1339.26,Flagship store
7115,54873962666,271972,2013-12-03,4,4,3,1167,367.605,3868.605,MBR
7118,49919154050,270387,2013-12-03,3,1,4,800,336.0,3536.0,e-Shop
7133,23786160822,267786,2013-11-03,5,3,2,922,193.62,2037.62,e-Shop
7147,32505767697,275023,2013-10-03,11,6,1,520,54.6,574.6,TeleShop
7153,33400653069,268368,2013-10-03,3,2,4,1103,463.26,4875.26,e-Shop
7170,49982032355,266958,2013-09-03,4,4,5,559,293.475,3088.475,MBR
7185,49351874716,273481,2013-09-03,5,3,4,1441,605.22,6369.22,TeleShop
7194,68163261990,268948,2013-09-03,1,4,1,840,88.2,928.2,e-Shop
7198,76183800421,268305,2013-09-03,4,3,1,187,19.635,206.635,TeleShop
7199,85063683691,271414,2013-09-03,2,6,2,1451,304.71,3206.71,Flagship store
7205,5271871674,271935,2013-08-03,12,6,3,778,245.07,2579.07,e-Shop
7213,76569099269,271576,2013-08-03,3,2,2,1222,256.62,2700.62,MBR
7239,15065087780,272069,2013-06-03,12,5,4,298,125.16,1317.16,Flagship store
7242,7468561734,267562,2013-06-03,10,5,3,308,97.02,1021.02,TeleShop
7248,58819420965,274402,2013-06-03,9,3,1,536,56.28,592.28,TeleShop
7254,20775809285,268757,2013-06-03,12,6,4,1207,506.94,5334.94,e-Shop
7269,5958896864,267335,2013-05-03,12,5,5,708,371.7,3911.7,MBR
7275,78775295433,274534,2013-05-03,4,1,1,1261,132.405,1393.405,Flagship store
7302,54937078674,270360,2013-03-03,5,3,3,841,264.915,2787.915,Flagship store
7316,22169492969,269497,2013-03-03,4,3,1,313,32.865,345.865,e-Shop
7321,64938520996,270298,2013-03-03,11,6,5,932,489.3,5149.3,e-Shop
7363,79331206308,274601,2013-01-03,11,5,1,1019,106.995,1125.995,e-Shop
7378,11744618530,269799,2013-02-28,1,2,4,1229,516.18,5432.18,MBR
7389,55176124310,269273,2013-02-27,4,1,2,951,199.71,2101.71,MBR
7400,26013737899,267180,2013-02-26,4,4,3,231,72.765,765.765,e-Shop
7402,1167308476,267042,2013-02-26,11,5,1,117,12.285,129.285,TeleShop
7403,8959366903,272803,2013-02-26,3,2,3,780,245.7,2585.7,TeleShop
7421,12161144135,273699,2013-02-25,5,3,2,643,135.03,1421.03,Flagship store
7434,39273666141,271042,2013-02-24,3,2,1,795,83.475,878.475,TeleShop
7444,84999530297,272494,2013-02-24,4,3,2,1170,245.7,2585.7,e-Shop
7461,89172283224,271379,2013-02-23,9,3,2,1355,284.55,2994.55,TeleShop
7514,42760127896,268727,2013-02-20,3,1,5,868,455.7,4795.7,MBR
7522,64967141214,267812,2013-02-20,9,3,3,481,151.515,1594.515,TeleShop
7527,69831028147,273310,2013-02-20,10,6,3,438,137.97,1451.97,Flagship store
7537,53996484641,269767,2013-02-19,3,2,1,1135,119.175,1254.175,MBR
7565,34467826150,274189,2013-02-17,11,5,4,681,286.02,3010.02,Flagship store
7570,14220613111,271137,2013-02-17,8,3,3,1089,343.035,3610.035,Flagship store
7588,50693047176,267499,2013-02-16,3,2,2,212,44.52,468.52,Flagship store
7593,32753064095,274693,2013-02-16,4,2,1,779,81.795,860.795,TeleShop
7611,53475647058,272529,2013-02-15,11,6,3,452,142.38,1498.38,Flagship store
7629,7138782044,272907,2013-02-14,10,6,5,271,142.275,1497.275,TeleShop
7690,56098199475,270349,2013-11-02,1,4,2,1010,212.1,2232.1,e-Shop
7692,46074905777,268984,2013-11-02,3,1,5,87,45.675,480.675,Flagship store
7693,14556383209,267045,2013-11-02,4,1,5,1125,590.625,6215.625,TeleShop
7712,49994778767,267622,2013-10-02,7,5,4,215,90.3,950.3,e-Shop
7730,67643364186,273484,2013-09-02,10,6,1,1315,138.075,1453.075,TeleShop
7739,25353683669,268160,2013-08-02,10,6,5,116,60.9,640.9,MBR
7744,23558616247,270145,2013-08-02,1,1,1,886,93.03,979.03,Flagship store
7753,65240172062,267646,2013-08-02,3,5,3,251,79.065,832.065,e-Shop
7760,39781364281,270672,2013-07-02,9,3,2,815,171.15,1801.15,Flagship store
7783,42964360626,268354,2013-06-02,6,5,5,289,151.725,1596.725,Flagship store
7786,25453458314,273922,2013-06-02,4,1,1,973,102.165,1075.165,e-Shop
7801,75727203391,271905,2013-06-02,5,3,4,913,383.46,4035.46,e-Shop
7802,82047927723,267989,2013-06-02,12,5,3,217,68.355,719.355,Flagship store
7803,85012454766,273487,2013-06-02,4,1,3,708,223.02,2347.02,e-Shop
7812,14698441592,267592,2013-05-02,3,5,3,1359,428.085,4505.085,Flagship store
7816,84928807807,272020,2013-05-02,1,1,4,698,293.16,3085.16,MBR
7830,52715078274,270607,2013-04-02,3,5,2,592,124.32,1308.32,MBR
